"id","year","Y","VA","K","L","M","I","naics3"
1055,1989,324821632.830343,61026444.564169,14010944.3244676,2281,285079258.060653,11.2102909196289,"334"
1055,1990,394601361.106113,106938211.947307,11210290.9196289,2312,302117925.704883,10.4066182327831,"334"
1055,1991,523831377.772047,157913003.19777,10406618.2327831,2960,378202639.766827,10.4263097782351,"334"
1055,1992,746429590.244021,187579008.669726,10426309.7782351,3560,570214770.951254,16.6409677643223,"334"
1055,1993,1157925459.96839,195387649.808815,16640967.7643223,4509,970523286.472713,19.6314921267874,"334"
1055,1994,2015470195.72628,284391688.958659,19631492.1267874,6977,1712625874.38304,28.1838912953336,"334"
1055,1995,2234682487.23456,162037761.081126,28183891.2953336,6595,2009702318.06848,24.5733966794361,"334"
1055,1996,2020924484.33393,-138578734.025806,24573396.6794361,4151,2129035033.34721,21.8241406993362,"334"
1098,1968,26714433.462964,15217586.6650851,55559724.5891696,5414,63144653.7929594,13.884028986261,"334"
1098,1969,26724158.6324756,15223258.0715165,67801620.2443794,5402,61631693.6702551,11.6893004018334,"334"
1098,1970,25196168.9666466,13990044.7100607,11689300.4018334,5451,58869303.2754894,10.3399509145993,"334"
1098,1971,19495641.6079604,11052214.1234191,10339950.9145993,4759,43578642.7741192,4.87048000799995,"334"
1098,1972,22703785.592087,13178032.3248559,4870480.00799995,4912,48974296.9276932,7.18413075614116,"334"
1098,1973,32530349.0356737,17889568.1227644,7184130.75614116,5554,69154480.1296814,8.80764120573466,"334"
1098,1974,49987468.1570802,27187370.3694087,8807641.20573466,7200,84605048.9357034,26.7717681786446,"334"
1098,1975,72241759.6483908,31408799.1828841,26771768.1786446,6488,132990484.135437,12.095204384195,"334"
1098,1976,65967922.0704353,28269230.8442071,12095204.384195,5449,110904575.874613,11.9566815185762,"334"
1098,1977,80966959.6077447,35886528.7344545,11956681.5185762,5568,117469765.813944,6.038991546654,"334"
1098,1978,124751277.285796,50164513.5139668,6038991.546654,5728,164407481.144374,11.252649643659,"334"
1098,1979,157220830.037629,62713040.1992709,11252649.643659,6073,185051665.84575,20.8022398965577,"334"
1098,1980,194499330.074712,72808180.714821,20802239.8965577,6493,209831364.889582,24.703384006548,"334"
1098,1981,207365213.158044,78940884.1154835,24703384.006548,5716,198270378.8404,11.5077933052236,"334"
1098,1982,170546997.575661,62941164.0722667,11507793.3052236,3622,161886272.500471,10.6191105951187,"334"
1098,1983,98461708.257919,30975061.4999746,10619110.5951187,2600,93253542.4806109,9.26560458072661,"334"
1098,1984,125085053.202082,41477424.6526636,9265604.58072661,3085,110519743.103542,3.04543757916384,"334"
1098,1985,140511799.161308,72388601.8671852,3045437.57916384,3138,84464909.7058706,6.57383816198053,"334"
1098,1986,123805645.007931,57653216.7688727,6573838.16198053,2426,80050058.8028443,7.17914666518173,"334"
1098,1987,123229233.119792,57710356.2164543,7179146.66518173,2415,75567081.0245232,4.57456231671687,"334"
1098,1988,123664697.675884,60262315.6622706,4574562.31671687,2513,70319562.9260632,5.57052371823974,"334"
1098,1989,135923893.3806,66141934.4784575,5570523.71823974,2583,75412251.4538404,6.40709785921693,"334"
1098,1990,147467487.422851,69392424.7631755,6407097.85921693,2469,81998254.030787,2.90037341668974,"334"
1098,1991,139951724.788759,65522939.9005835,2900373.41668974,2247,76927437.5797473,2.32437792938858,"334"
1098,1992,140413478.79764,68365242.378096,2324377.92938858,2070,73513332.5113129,3.11965590730852,"334"
1098,1993,143436309.783911,72042320.9926169,3119655.90730852,1947,71986292.8030181,4.9280739066239,"334"
1098,1994,91837590.0181402,46378334.5286314,4928073.9066239,1105,44974677.2761319,2.70441533048583,"334"
